Song,Album Release Date,Hot100 Ranking Year,Decade,Season
I Fall Apart,2016-12-09,2018,new millennium,Winter
Tubthumping,1997-09-01,1997,Nighnties,Autumn
Sail,2011-03-15,2013,new millennium,Spring
When the Children Cry,1987-04-05,1989,Eighties,Spring
Deep Purple,1976-12-02,1976,Seventies,Winter
Luv U Better,2002-10-08,2002,new millennium,Autumn
When Doves Cry,1984-06-25,1984,Eighties,Summer
Sink The Bismarck,1961-03-01,1961,Sixties,Spring
Broadway Girls (feat. Morgan Wallen),2021-12-17,2022,new millennium,Winter
You Should Hear How She Talks About You,1982-05-02,1982,Eighties,Spring
Hip Hop Hooray,1993-02-23,1999,Nighnties,Winter
Sexy Bitch (feat. Akon),2009-08-21,2010,new millennium,Summer
Girl Watcher,1997-08-12,1997,Nighnties,Summer
Can I Get A...,1998-11-29,1999,Nighnties,Autumn
One Toke Over the Line,1970-05-16,1971,Seventies,Spring
Heathens,2016-06-16,2016,new millennium,Summer
My Heart Is an Open Book,1959-05-20,1959,Fifties,Spring
Dark Moon,1994-01-01,1994,Nighnties,Winter
Why Me - Live,2017-09-08,2017,new millennium,Autumn
Your Cheatin' Heart,1953-12-17,1953,Fifties,Winter
Leather and Lace (with Don Henley),1991-08-30,1991,Nighnties,Summer
What's Going On,1971-05-21,1971,Seventies,Spring
Stranger in My House,2000-10-01,2001,new millennium,Autumn
If I Were a Boy,2008-11-14,2009,new millennium,Autumn
Stitches,2015-04-14,2015,new millennium,Spring
TSOP (The Sound of Philadelphia) (feat. The Three Degrees),2018-11-02,2018,new millennium,Autumn
We Found Love,2011-11-18,2011,new millennium,Autumn
U Can't Touch This,1990-02-20,1990,Nighnties,Winter
"You Can't Be True, Dear",2013-02-12,2013,new millennium,Winter
"Baby, I Love You",1967-08-04,1967,Sixties,Summer
The Bigger Picture,2020-06-12,2020,new millennium,Summer
There's Nothing Holdin' Me Back,2017-04-20,2017,new millennium,Spring
Bubbly,2007-01-01,2008,new millennium,Winter
Big Green Tractor,2009-04-07,2009,new millennium,Spring
What's Love Got to Do with It,1993-03-10,1993,Nighnties,Spring
The Night Has A Thousand Eyes,1963-01-01,1963,Sixties,Winter
Like a Prayer,2009-09-18,2009,new millennium,Autumn
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",2016-06-24,2016,new millennium,Summer
Feel Like Makin' Love,1975-06-14,1975,Seventies,Summer
Proud Mary,1969-01-05,1969,Sixties,Winter
Freedom! '90 - Remastered,2017-10-20,2017,new millennium,Autumn
Sweetest Pie,2022-03-11,2022,new millennium,Spring
What the Hell,2011-03-08,2011,new millennium,Spring
Sir Duke,1976-09-28,1977,Seventies,Autumn
Wishing On a Star,2002-04-05,2002,new millennium,Spring
I Know A Place,1996-04-22,1996,Nighnties,Spring
Miles Away,1990-07-20,1991,Nighnties,Summer
Summer Love,2006-09-12,2007,new millennium,Autumn
Teenage Dream,2010-01-01,2010,new millennium,Winter
G.T.O.,2005-09-20,2005,new millennium,Autumn
Freeze-Frame,1981-07-03,1982,Eighties,Summer
Believer,2017-06-23,2018,new millennium,Summer
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",1997-05-04,1997,Nighnties,Spring
Holy (feat. Chance The Rapper),2020-09-18,2021,new millennium,Autumn
"Evergreen (Love Theme from ""A Star Is Born"")",1976-11-01,1977,Seventies,Autumn
"That'll Be The Day - Live On The Ed Sullivan Show, December 1, 1957",2020-08-03,2020,new millennium,Summer
I Like the Way (The Kissing Game),1990-04-01,1991,Nighnties,Spring
No Brainer,2018-07-27,2018,new millennium,Summer
Coward Of The County,1979-10-10,1980,Seventies,Autumn
Kiss,1986-03-31,1986,Eighties,Spring
Just A Little Too Much - Remastered,1959-01-01,1959,Fifties,Winter
Do You Want To Dance,2005-05-05,2005,new millennium,Spring
Getto Jam,1993-05-05,1994,Nighnties,Spring
I'm N Luv (Wit a Stripper) (feat. Mike Jones),2005-12-06,2006,new millennium,Winter
The Poor Side Of Town,1967-02-10,1967,Sixties,Winter
Ain't Too Proud To Beg - Live At The Roostertail's Upper Deck/1966,1967-03-06,1967,Sixties,Spring
Don't Cry (Original),1991-09-17,1991,Nighnties,Autumn
Feel so Good,1997-06-12,1998,Nighnties,Summer
Feel It Still,2017-06-16,2018,new millennium,Summer
Sweet Talkin' Woman,1977-04-08,1978,Seventies,Spring
Beautiful (feat. Camila Cabello),2018-08-02,2019,new millennium,Summer
Another Brick in the Wall (Part II) [In the Style of Pink Floyd] {Karaoke Version},2015-08-04,2015,new millennium,Summer
Superman,2002-05-26,2003,new millennium,Spring
Summertime,1991-07-09,1991,Nighnties,Summer
Only the Lonely,1961-06-05,1961,Sixties,Summer
Kicks,1966-05-09,1966,Sixties,Spring
Tonight She Comes - 2017 Remaster,1984-05-10,1986,Eighties,Spring
Heart And Soul,1987-09-14,1987,Eighties,Autumn
Smile,2010-01-01,2010,new millennium,Winter
Tell Me It's Real,1999-06-22,1999,Nighnties,Summer
Chirpy Chirpy Cheep Cheep,2011-09-08,2011,new millennium,Autumn
Sleep Walk,2012-10-25,2012,new millennium,Autumn
The Boys Are Back In Town,1976-05-11,1976,Seventies,Spring
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,1997-03-04,1997,Nighnties,Spring
Way 2 Sexy (with Future & Young Thug),2021-09-03,2021,new millennium,Autumn
Casanova,2010-08-29,2010,new millennium,Summer
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",2010-03-02,2010,new millennium,Spring
Stuck Like Glue,2010-01-01,2010,new millennium,Winter
The Very Thought Of You,1965-01-01,1965,Sixties,Winter
Is There Something I Should Know?,1981-06-15,1983,Eighties,Summer
Twist And Shout - Remastered 2009,1963-03-22,1964,Sixties,Spring
I Know You Want Me (Calle Ocho),2009-08-27,2009,new millennium,Summer
Can't Take My Eyes Off You,2017-05-23,2017,new millennium,Spring
The First Night,1998-07-13,1998,Nighnties,Summer
One - Single Version,1968-01-01,1969,Sixties,Winter
Love Galore (feat. Travis Scott),2022-06-09,2022,new millennium,Summer
In the Ghetto,1969-06-17,1969,Sixties,Summer
All I Want for Christmas Is You,1994-10-28,2022,Nighnties,Autumn
Twisted,1996-04-07,1997,Nighnties,Spring
Trumpets,2013-09-10,2014,new millennium,Autumn
Hard to Say I'm Sorry - 2009 Remaster,1982-06-07,1997,Eighties,Summer
Knockin' da Boots,1993-01-28,1993,Nighnties,Winter
going down!,2018-03-16,2018,new millennium,Spring
Good as Hell,2019-04-17,2020,new millennium,Spring
Goodbyes (feat. Young Thug),2019-09-06,2019,new millennium,Autumn
3,2009-11-09,2010,new millennium,Autumn
Sweet Soul Music,1967-09-15,1967,Sixties,Autumn
Buttons And Bows,1989-06-13,1989,Eighties,Summer
Liar,1970-01-01,1971,Seventies,Winter
Friday On My Mind,1965-01-01,1967,Sixties,Winter
Riptide,2014-09-09,2015,new millennium,Autumn
Despacito,2019-02-01,2019,new millennium,Winter
Everybody Have Fun Tonight,1986-10-14,1987,Eighties,Autumn
Born To Be My Baby,1988-09-13,1989,Eighties,Autumn
You Light Up My Life,1977-07-01,1978,Seventies,Summer
"Little Red Corvette - 7"" Edit - 2019 Remaster",2019-09-10,2019,new millennium,Autumn
Da Doo Ron Ron (When He Walked Me Home),2011-02-22,2011,new millennium,Winter
It's a Sin - 2018 Remaster,1987-09-07,1987,Eighties,Autumn
Ain’t It Fun,2023-05-19,2023,new millennium,Spring
Ain't 2 Proud 2 Beg,1992-02-25,1992,Nighnties,Winter
Laugh Now Kry Later!,2020-10-02,2021,new millennium,Autumn
Lonely No More,2005-04-05,2005,new millennium,Spring
United We Stand,1979-03-08,1979,Seventies,Spring
Losing You,1963-09-12,1963,Sixties,Autumn
"Hold On, We're Going Home",2013-01-01,2013,new millennium,Winter
"Mr. Sun, Mr. Moon (feat. Mark Lindsay)",2019-07-26,2019,new millennium,Summer
Low (feat. T-Pain),2008-03-17,2008,new millennium,Spring
All Shook Up,2023-05-23,2023,new millennium,Spring
All 4 Love,1991-07-23,1992,Nighnties,Summer
Round and Round,1984-02-14,1984,Eighties,Winter
Break Up,2009-10-08,2009,new millennium,Autumn
#thatPOWER,2013-01-01,2013,new millennium,Winter
Valerie,1982-08-02,1988,Eighties,Summer
Little Sister (Bonus Track),2022-02-18,2022,new millennium,Winter
Breakin' In A Brand New Broken Heart,1962-04-10,1962,Sixties,Spring
Hernando's Hideaway,2010-04-20,2010,new millennium,Spring
Animal,2010-01-01,2010,new millennium,Winter
Back At One,1999-09-21,2000,Nighnties,Autumn
Up Jumps da Boogie (In the Style of Magoo & Timbaland) [Karaoke Version],2013-05-16,2013,new millennium,Spring
Cherry Pink And Apple Blossom White,2006-06-09,2006,new millennium,Summer
So Anxious,1999-03-15,1999,Nighnties,Spring
School's Out,1972-03-17,1972,Seventies,Spring
Blowing Kisses In The Wind,1991-01-01,1992,Nighnties,Winter
She Wolf,2009-05-13,2009,new millennium,Spring
Truth Hurts,2019-04-19,2020,new millennium,Spring
Bluebird,2019-11-01,2020,new millennium,Autumn
Love The Way You Lie,2010-06-18,2010,new millennium,Summer
Underneath It All,2001-12-11,2002,new millennium,Winter
Gold,2016-03-22,2016,new millennium,Spring
I GOTCHA,1969-01-01,1972,Sixties,Winter
Everybody Plays The Fool,1991-01-01,1991,Nighnties,Winter
Jackie Blue,1974-02-02,1975,Seventies,Winter
Cecilia,1970-01-26,1970,Seventies,Winter
It's My Turn,1981-02-17,1981,Eighties,Winter
Can’t Get You Out of My Head,2023-05-19,2023,new millennium,Spring
Drunk On You,2011-01-01,2012,new millennium,Winter
My Foolish Heart,1994-01-01,1994,Nighnties,Winter
Small Town,1985-05-08,1986,Eighties,Spring
White Christmas,1942-01-01,1947,Fourties,Winter
Started From the Bottom,2013-01-01,2013,new millennium,Winter
A Hundred Pounds Of Clay,1961-08-21,1961,Sixties,Summer
Silhouettes,1956-12-03,1957,Fifties,Winter
Wishin' And Hopin',1964-06-26,1964,Sixties,Summer
Wanna Get To Know You,2003-01-01,2004,new millennium,Winter
Fallin' For You,2009-05-08,2009,new millennium,Spring
No Surprise,2009-07-14,2009,new millennium,Summer
I Love How You Love Me,1961-11-26,1961,Sixties,Autumn
Undercover (Of The Night) - Remastered 2009,1983-11-07,1984,Eighties,Autumn
Guantanamera,1966-07-25,1966,Sixties,Summer
Ma Belle Amie,1970-04-02,1970,Seventies,Spring
Too Shy,1983-06-08,1983,Eighties,Summer
Lowdown,1976-06-09,1976,Seventies,Summer
Hello,1983-01-01,1984,Eighties,Winter
How Do You Talk To An Angel?,1992-01-01,1993,Nighnties,Winter
Do You Wanna Make Love,2016-05-27,2016,new millennium,Spring
Havana (feat. Young Thug),2018-01-12,2018,new millennium,Winter
breathin,2018-08-17,2019,new millennium,Summer
Ni**as In Paris,2011-08-08,2012,new millennium,Summer
Stop And Stare,2007-01-01,2008,new millennium,Winter
Red Rubber Ball,1991-08-27,1991,Nighnties,Summer
Knock Three Times,1970-09-13,1971,Seventies,Autumn
Set Fire to the Rain,2011-01-24,2012,new millennium,Winter
Te Boté - Remix,2018-04-13,2018,new millennium,Spring
My Girl,1965-03-22,1965,Sixties,Spring
Coming Out of the Dark,1991-01-29,1991,Nighnties,Winter
Chandelier,2015-05-04,2015,new millennium,Spring
Seven Year Ache,2005-11-08,2005,new millennium,Autumn
The Rapper,1970-09-06,1970,Seventies,Autumn
Ordinary World,1993-02-15,1993,Nighnties,Winter
Speak To The Sky,1972-01-01,1972,Seventies,Winter
I Knew You Were Waiting (For Me) (Karaoke in the style of George Michael & Aretha Franklin),2009-09-21,2009,new millennium,Autumn
I Met You There,2017-02-15,2017,new millennium,Winter
All Right Now,1970-06-26,1970,Seventies,Summer
Wonderful! Wonderful!,1963-01-01,1963,Sixties,Winter
My Love,1982-07-13,1983,Eighties,Summer
Living And Living Well,2001-01-01,2002,new millennium,Winter
Life's Been Good,1978-06-01,1978,Seventies,Summer
(The Man Who Shot) Liberty Valance,1972-07-11,1972,Seventies,Summer
Tainted Love,1981-06-09,1982,Eighties,Summer
Take Your Time,2014-10-27,2015,new millennium,Autumn
Something To Talk About,1991-01-01,1991,Nighnties,Winter
When I Was Your Man,2012-12-07,2013,new millennium,Winter
Peg O' My Heart,1955-04-01,1955,Fifties,Spring
Angel,1984-11-12,1985,Eighties,Autumn
(We Ain't Got) Nothin' Yet,1966-01-01,1967,Sixties,Winter
"Working My Way Back to You / Forgive Me, Girl",2007-10-30,2007,new millennium,Autumn
Return To Me (Ritorna-Me) - 1997 Remaster,1958-07-08,1958,Fifties,Summer
Sweet City Woman (Originally Performed by Stampeders) [Karaoke Version],2015-10-23,2015,new millennium,Autumn
Insane in the Brain,1993-07-20,1993,Nighnties,Summer
Never Had A Dream Come True,2000-06-12,2001,new millennium,Summer
Regulate - Destructo & Wax Motif Remix,1994-06-07,1994,Nighnties,Summer
Downtown,2013-01-01,2013,new millennium,Winter
Praying,2017-08-11,2017,new millennium,Summer
Everything,1989-01-01,1990,Eighties,Winter
Groovin',1967-02-15,1967,Sixties,Winter
The First Cut Is The Deepest,2003-01-01,2004,new millennium,Winter
Oh Girl,1990-05-10,1990,Nighnties,Spring
Gucci Gang,2017-10-06,2018,new millennium,Autumn
Born This Way,2011-01-01,2011,new millennium,Winter
Water Runs Dry,1994-01-01,1995,Nighnties,Winter
Yes. I'm Ready,1965-01-01,1965,Sixties,Winter
Dum Dum,1961-08-07,1961,Sixties,Summer
Girls Like You (feat. Cardi B) - Cardi B Version,2018-06-15,2019,new millennium,Summer
How Do You Like Me Now?!,1999-01-01,2000,Nighnties,Winter
"Don't Wanna Know - 11 Hearts Mix Maroon 5 , Kendrick Lamar Tribute",2016-11-19,2017,new millennium,Autumn
Telephone Line,1976-09-01,1977,Seventies,Autumn
Tic Tac Toe (Original Mix),2011-10-11,2011,new millennium,Autumn
Sweet Love,2022-02-14,2022,new millennium,Winter
Coconut,1971-02-08,1972,Seventies,Winter
Rockin' Pneumonia And The Boogie Woogie Flu,1998-01-01,1998,Nighnties,Winter
"More, More, More",2007-01-01,2007,new millennium,Winter
Needed Me,2016-01-28,2016,new millennium,Winter
Arthur's Theme (Best That You Can Do),1981-05-11,1982,Eighties,Spring
Hard Headed Woman,1958-09-19,1958,Fifties,Autumn
After All (Love Theme From Chances Are),1989-01-01,1989,Eighties,Winter
Waiting On the World to Change,2006-09-11,2006,new millennium,Autumn
Symphony,1989-06-13,1989,Eighties,Summer
Vincent,1971-05-03,1972,Seventies,Spring
Come & Talk To Me,1991-05-28,1992,Nighnties,Spring
Swayin' to the Music (Slow Dancing) [Originally Performed by Johnny Rivers] {Karaoke Version},2016-10-13,2016,new millennium,Autumn
After the Love Has Gone,1979-06-01,1979,Seventies,Summer
Let Me Blow Ya Mind,2001-01-01,2001,new millennium,Winter
Renegades,2015-06-30,2015,new millennium,Summer
Let the Little Girl Dance,1990-01-31,1990,Nighnties,Winter
Last Night,1996-10-27,1997,Nighnties,Autumn
Here Comes the Hotstepper - Heartical Mix,1994-08-07,1995,Nighnties,Summer
There! I've Said It Again,1964-09-07,1964,Sixties,Autumn
Love Me Warm And Tender,2000-10-03,2000,new millennium,Autumn
What Have You Done For Me Lately,1986-02-04,1986,Eighties,Winter
Walk Like a Man,1963-02-01,1963,Sixties,Winter
What You Know Bout Love,2020-07-03,2021,new millennium,Summer
Golden Earrings,1998-01-01,1998,Nighnties,Winter
I Wanna Be Down,1994-05-17,1994,Nighnties,Spring
You Want This,1993-05-18,1995,Nighnties,Spring
Impulsive,1990-05-08,1991,Nighnties,Spring
Island Girl,1975-10-24,1976,Seventies,Autumn
God Gave Me You,2011-07-11,2011,new millennium,Summer
Shoeshine Boy,1974-12-01,1975,Seventies,Winter
Love Will Never Do (Without You),1989-09-19,1991,Eighties,Autumn
Garden Party,1972-03-22,1972,Seventies,Spring
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",2022-08-19,2022,new millennium,Summer
Sea of Heartbreak,2001-05-15,2001,new millennium,Spring
I Hope,2020-06-19,2021,new millennium,Summer
Secret Lovers,1986-05-24,1986,Eighties,Spring
Sledgehammer - 2012 Remaster,1986-05-19,1986,Eighties,Spring
America,1980-11-10,1981,Eighties,Autumn
"Rocket Man (I Think It's Going To Be A Long, Long Time)",1972-05-19,1972,Seventies,Spring
Crying In the Chapel,2002-09-24,2002,new millennium,Autumn
I'm Gonna Be Alright - Track Masters Remix,2002-02-05,2002,new millennium,Winter
Whatever You Like,2008-09-07,2009,new millennium,Autumn
Shake Your Body (Down to the Ground) - Single Edit,2005-07-19,2005,new millennium,Summer
It Goes Like This,2013-01-01,2013,new millennium,Winter
You Can't Turn Me Off (In The Middle Of Turning Me On) - Single Version,1993-01-15,1993,Nighnties,Winter
Domino,2011-01-01,2012,new millennium,Winter
Evil Ways,1969-06-09,1970,Sixties,Summer
Do You Remember,2009-01-01,2010,new millennium,Winter
You And Me,2005-03-22,2006,new millennium,Spring
Real Love,1992-01-01,1993,Nighnties,Winter
On Fire,2004-01-01,2004,new millennium,Winter
Dangerous,1997-06-12,1998,Nighnties,Summer
Break My Stride,1983-03-19,1984,Eighties,Spring
Cry Me a River,2002-11-04,2003,new millennium,Autumn
"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992",1998-11-17,1998,Nighnties,Autumn
Jealousy,1995-05-10,1996,Nighnties,Spring
Rosanna,1982-04-08,1982,Eighties,Spring
The Name Of The Game,1977-04-03,1978,Seventies,Spring
Working in the Coal Mine,2000-11-28,2000,new millennium,Autumn
One Kiss (with Dua Lipa),2018-04-06,2018,new millennium,Spring
Run To You,1984-11-05,1985,Eighties,Autumn
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",2016-02-26,2016,new millennium,Winter
Best of My Love,1977-06-10,1977,Seventies,Summer
PROVENZA,2023-02-24,2023,new millennium,Winter
Trapped By a Thing Called Love,2000-01-01,2000,new millennium,Winter
Baby It's You,2005-08-08,2005,new millennium,Summer
Who's That Girl,1987-07-21,1987,Eighties,Summer
Essence (feat. Tems),2020-10-29,2022,new millennium,Autumn
Mr Custer,2017-03-03,2017,new millennium,Spring
Faithful,1992-11-14,1993,Nighnties,Autumn
Sugar Shack,1963-10-01,1963,Sixties,Autumn
Stranger In Paradise,2011-09-20,2011,new millennium,Autumn
Today,1964-08-26,1964,Sixties,Summer
Run It! (feat. Juelz Santana),2005-04-17,2006,new millennium,Spring
Hold On To The Nights,1987-01-01,1988,Eighties,Winter
Grillz,2022-10-14,2022,new millennium,Autumn
"Those Lazy, Hazy, Crazy Days Of Summer",1963-04-01,1963,Sixties,Spring
Can’t Help but Wait,2023-05-17,2023,new millennium,Spring
Someone Like You,2011-01-24,2011,new millennium,Winter
"Let It Snow, Let It Snow, Let It Snow",1949-12-03,1949,Fourties,Winter
Red Roses For A Blue Lady,1964-01-01,1965,Sixties,Winter
Move Ya Body,2004-01-01,2004,new millennium,Winter
Jaded,2001-03-05,2001,new millennium,Spring
The End Of The Innocence,1989-01-01,1989,Eighties,Winter
Get On Up,1967-07-28,1967,Sixties,Summer
Disappear,1990-06-22,1991,Nighnties,Summer
Need to Know,2021-06-25,2021,new millennium,Summer
Say You Won't Let Go,2016-10-28,2017,new millennium,Autumn
Jessie's Girl,1981-06-16,1981,Eighties,Summer
Centerfold,1981-05-12,1982,Eighties,Spring
Almost Paradise (feat. Ann Wilson),1994-05-11,1994,Nighnties,Spring
Mama,1959-11-01,1960,Fifties,Autumn
No Mediocre (feat. Iggy Azalea),2014-10-17,2014,new millennium,Autumn
Midnight Blue,1987-03-03,1987,Eighties,Spring
"Can't Let Go - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992",1992-04-30,1992,Nighnties,Spring
What's It Gonna Be?! (feat. Janet Jackson),1998-07-12,1999,Nighnties,Summer
Calling My Phone,2021-04-02,2021,new millennium,Spring
Welcome To The Jungle,1987-07-21,1989,Eighties,Summer
Nobody Wants to Be Lonely (Originally Performed by Ricky Martin and Christina Aguilera) [Karaoke Version],2013-03-15,2013,new millennium,Spring
One Call Away,2003-01-01,2004,new millennium,Winter
good 4 u,2021-05-21,2021,new millennium,Spring
Music (feat. Marvin Gaye),2001-08-27,2001,new millennium,Summer
"Goodbye Jimmy, Goodbye",2022-10-14,2022,new millennium,Autumn
Bottle of Wine - Single Version,1968-11-13,1968,Sixties,Autumn
Raspberry Beret,1985-04-22,1985,Eighties,Spring
Your Love,1985-06-29,1986,Eighties,Summer
Another Day - 2012 Remaster,1971-05-17,1971,Seventies,Spring
My Boo - Hitman's Club Mix,1996-03-26,1996,Nighnties,Spring
Young At Heart,1963-08-01,1963,Sixties,Summer
Come On Get Happy - The Partridge Family Theme,2005-05-03,2005,new millennium,Spring
Quit Playing Games (With My Heart),1996-04-05,1997,Nighnties,Spring
"Give It Up, Turn It Loose",1992-03-24,1993,Nighnties,Spring
I Go to Extremes,1989-10-17,1990,Eighties,Autumn
Play,2001-01-23,2001,new millennium,Winter
Roll Up,2011-03-29,2011,new millennium,Spring
One,1991-11-18,1992,Nighnties,Autumn
It's Only Make Believe,1970-01-01,1970,Seventies,Winter
Love You Down,1999-04-05,1999,Nighnties,Spring
(Your Love Keeps Lifting Me) Higher & Higher,1967-05-07,1967,Sixties,Spring
Trouble,1981-03-07,1982,Eighties,Spring
White Iverson,2016-12-09,2016,new millennium,Winter
Make A Move On Me - Remastered 2021,2021-10-22,2021,new millennium,Autumn
Thinking of You,2012-11-30,2012,new millennium,Autumn
When a Man Loves a Woman,1991-04-23,1992,Nighnties,Spring
Love Like This (feat. Sean Kingston),2007-04-27,2008,new millennium,Spring
Stray Cat Strut,1982-01-01,1983,Eighties,Winter
Lay Down Sally,1977-11-01,1978,Seventies,Autumn
I Still Believe,1987-01-01,1988,Eighties,Winter
Games People Play,1968-01-01,1969,Sixties,Winter
pov,2020-10-30,2021,new millennium,Autumn
Splash Waterfalls,2003-01-01,2004,new millennium,Winter
Smoke from a Distant Fire,1976-03-13,1977,Seventies,Spring
Get Dancin',1975-01-01,1975,Seventies,Winter
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",2019-07-25,2019,new millennium,Summer
Sweet Pea,2001-01-01,2001,new millennium,Winter
4 Seasons Of Loneliness,1997-03-23,1997,Nighnties,Spring
Barbara Ann,1975-04-14,1975,Seventies,Spring
Last Song,1973-01-20,1973,Seventies,Winter
Better Now,2018-04-27,2018,new millennium,Spring
My Happiness,1995-08-29,1995,Nighnties,Summer
Want U Back,2012-10-02,2012,new millennium,Autumn
My Chick Bad,2010-01-01,2010,new millennium,Winter
Worth It,2019-10-11,2019,new millennium,Autumn
Sea Of Love,2014-01-01,2014,new millennium,Winter
Could’ve Been,2011-05-31,2011,new millennium,Spring
Dress You Up,2009-09-18,2009,new millennium,Autumn
Don't Fall in Love with a Dreamer (Originally Performed by Kenny Rogers and Kim Carnes) [Karaoke Version],2013-03-15,2013,new millennium,Spring
Jack and Jill,1978-05-07,1978,Seventies,Spring
Bad Boy,1985-08-13,1986,Eighties,Summer
Looking Through Patient Eyes,1993-03-23,1993,Nighnties,Spring
"I Want You, I Need You, I Love You",1958-03-21,1958,Fifties,Spring
Shine,1994-03-22,1994,Nighnties,Spring
Burn,2004-03-23,2004,new millennium,Spring
BURN IT DOWN,2012-06-20,2012,new millennium,Summer
Eve Of Destruction,1965-01-01,1965,Sixties,Winter
Cupid's Chokehold / Breakfast in America,2005-02-22,2007,new millennium,Winter
Streets of London,1969-01-01,1969,Sixties,Winter
Just Like Paradise,1988-01-26,1988,Eighties,Winter
I Luv Your Girl,2007-01-01,2008,new millennium,Winter
I Was Made for Dancin',1998-07-22,1998,Nighnties,Summer
So What,2006-01-01,2006,new millennium,Winter
Find Your Love,2010-01-01,2010,new millennium,Winter
"Hold On, We're Going Home",2013-01-01,2014,new millennium,Winter
Tell Me Why,1993-09-28,1993,Nighnties,Autumn
Blame It on the Rain,2011-06-03,2011,new millennium,Summer
Don't Stand so Close to Me (In the Style of The Police) [Karaoke Version],2015-08-04,2015,new millennium,Summer
Southern Hospitality (Featuring Pharrell),2000-01-01,2001,new millennium,Winter
Don't Cha,2005-01-01,2005,new millennium,Winter
Young Dumb & Broke,2017-04-27,2017,new millennium,Spring
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,1975-01-01,1975,Seventies,Winter
Clumsy,2006-09-13,2008,new millennium,Autumn
Starting Over,2020-11-13,2021,new millennium,Autumn
Honey Bee,2011-07-11,2011,new millennium,Summer
Just Like A Pill (Karaoke in the style of Pink),2009-09-21,2009,new millennium,Autumn
"Julie, Do Ya Love Me",1970-04-01,1970,Seventies,Spring
Sixteen Reasons,2005-05-24,2005,new millennium,Spring
Can't Believe It (feat. Lil' Wayne),2008-11-11,2008,new millennium,Autumn
Can’t You Hear My Heartbeat,1984-04-01,1984,Eighties,Spring
Her Diamonds,2009-06-22,2009,new millennium,Summer
What’s Your Country Song,2021-04-30,2021,new millennium,Spring
Wake up In the Sky,2022-02-04,2022,new millennium,Winter
Sound Off,1949-12-03,1951,Fourties,Winter
Die Young,2012-11-30,2012,new millennium,Autumn
Jump,1992-03-17,1992,Nighnties,Spring
Having a Party,1962-03-12,1962,Sixties,Spring
Oh My God,2021-11-19,2022,new millennium,Autumn
Crying Time,2021-08-13,2021,new millennium,Summer
Die From A Broken Heart,2020-04-10,2020,new millennium,Spring
Ball Of Confusion (That's What The World Is Today) - Single Version/Mono,2000-01-11,2000,new millennium,Winter
I Want You,1997-03-04,1997,Nighnties,Spring
Two Steps Behind - String / Acoustic Version,1993-10-05,1993,Nighnties,Autumn
Keep Your Hands to Yourself,1986-09-16,1987,Eighties,Autumn
Falling - 2013 Japan Remaster,1977-07-05,1978,Seventies,Summer
When You're Mad,2006-01-01,2006,new millennium,Winter
It Feels So Good,2000-08-24,2000,new millennium,Summer
Let's Dance - 2018 Remaster,1983-04-14,1983,Eighties,Spring
Blame It,2008-12-11,2008,new millennium,Winter
Don’t Dream It’s Over - Home Demo,2016-01-01,2016,new millennium,Winter
You Don't Bring Me Flowers (In the Style of Neil Diamond and Barbra Streisand) [Karaoke Version],2013-05-16,2013,new millennium,Spring
Walking To New Orleans,1960-08-07,1960,Sixties,Summer
The Stripper,2005-01-01,2005,new millennium,Winter
All By Myself,1996-03-11,1997,Nighnties,Spring
You Used to Love Me,1995-02-06,1995,Nighnties,Winter
Pleasant Valley Sunday - 2007 Remaster,1967-11-06,1967,Sixties,Autumn
Scream,2012-06-12,2012,new millennium,Summer
Party Rock Anthem,2011-01-01,2012,new millennium,Winter
Notorious - 2010 Remaster,1986-11-24,1987,Eighties,Autumn
It Ends Tonight,2005-01-01,2007,new millennium,Winter
Chandelier,2015-05-04,2015,new millennium,Spring
Broken Hearted Me,2000-01-01,2000,new millennium,Winter
Billionaire (feat. Bruno Mars),2010-06-07,2010,new millennium,Summer
a lot,2018-12-21,2019,new millennium,Winter
Spies Like Us - 2022 Remaster,2022-12-02,2022,new millennium,Winter
It's Time,2012-09-04,2012,new millennium,Autumn
Here Comes The Sun,1972-07-17,1972,Seventies,Summer
Adore You,2013-10-04,2014,new millennium,Autumn
It Keeps Right on A-Hurtin',1959-06-19,1962,Fifties,Summer
Uptown,1962-06-16,1962,Sixties,Summer
Shotta Flow (feat. Blueface) [Remix],2019-12-23,2019,new millennium,Winter
For The Night (feat. Lil Baby & DaBaby),2020-07-03,2021,new millennium,Summer
Trip,2018-10-12,2019,new millennium,Autumn
Cry,1958-04-01,1958,Fifties,Spring
Ode To Billie Joe,1967-08-21,1967,Sixties,Summer
Battle Hymn of the Republic,1959-03-01,1959,Fifties,Spring
