Song,Album Release Date,Hot100 Ranking Year,Decade,Season
Affair of the Heart,1981-05-04,1983,Eighties,Spring
Kids In America,1981-06-14,1982,Eighties,Summer
I Don't Need You,1981-06-15,1981,Eighties,Summer
Harden My Heart,1981-01-01,1982,Eighties,Winter
Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster,1981-07-27,1981,Eighties,Summer
The Sweetest Thing (I've Ever Known),1981-01-01,1982,Eighties,Winter
Take My Heart (You Can Have It If You Want It),1981-08-18,1982,Eighties,Summer
We Got The Beat,1981-01-01,1982,Eighties,Winter
Sweetheart,1981-03-11,1981,Eighties,Spring
Slow Hand,1981-07-11,1981,Eighties,Summer
Don't Stop Believin',1981-03-12,1982,Eighties,Spring
Ruby,1981-02-24,1981,Eighties,Winter
A Little in Love - 1987 Remaster,1981-06-15,1981,Eighties,Summer
Our Lips Are Sealed - Single Version,1981-01-01,1982,Eighties,Winter
Working for the Weekend,1981-06-21,1982,Eighties,Summer
Elvira,1981-01-01,1981,Eighties,Winter
Being With You,1981-01-01,1981,Eighties,Winter
Arthur's Theme (Best That You Can Do),1981-05-11,1982,Eighties,Spring
Who Can It Be Now?,1981-11-09,1982,Eighties,Autumn
Everytime I Think Of You - 2022 Remaster,1981-10-02,1981,Eighties,Autumn
Hearts,1981-01-01,1981,Eighties,Winter
Here I Am (Just When I Thought I Was Over You),1981-05-10,1982,Eighties,Spring
What About Me?,1981-12-01,1983,Eighties,Winter
Centerfold,1981-05-12,1982,Eighties,Spring
Jessie's Girl,1981-06-16,1981,Eighties,Summer
With You I'm Born Again,1981-01-01,1981,Eighties,Winter
All Those Years Ago - 2004 Remaster,1981-06-01,1981,Eighties,Summer
For Your Eyes Only,1981-04-08,1982,Eighties,Spring
Oh No,1981-01-01,1982,Eighties,Winter
Hold On Tight,1981-08-01,1981,Eighties,Summer
Lady (You Bring Me Up),1981-01-01,1981,Eighties,Winter
Edge of Seventeen - 2016 Remaster,1981-07-27,1982,Eighties,Summer
How 'Bout Us,1981-06-19,1981,Eighties,Summer
I Love Rock 'N Roll,1981-11-18,1982,Eighties,Autumn
Urgent,1981-02-12,1981,Eighties,Winter
867-5309 / Jenny,1981-12-04,1982,Eighties,Winter
I Can't Stand It,1981-02-17,1981,Eighties,Winter
Why Do Fools Fall In Love,1981-09-14,1982,Eighties,Autumn
Man On Your Mind - Remastered 2022,1981-08-01,1982,Eighties,Summer
"Believe It or Not (Theme from ""Greatest American Hero"")",1981-07-19,1981,Eighties,Summer
The Best Of Times,1981-01-01,1981,Eighties,Winter
Private Eyes,1981-04-08,1982,Eighties,Spring
Tainted Love,1981-06-09,1982,Eighties,Summer
Really Want to Know You - Remastered Version,1981-07-16,1981,Eighties,Summer
Turn Your Love Around,1981-08-14,1982,Eighties,Summer
Trouble,1981-03-07,1982,Eighties,Spring
Who's Crying Now,1981-04-12,1981,Eighties,Spring
One Hundred Ways,1981-03-28,1982,Eighties,Spring
The One That You Love,1981-09-26,1981,Eighties,Autumn
Waiting On A Friend - Remastered 2009,1981-08-24,1982,Eighties,Summer
Yesterday's Songs,1981-11-28,1982,Eighties,Autumn
Winning,1981-04-29,1981,Eighties,Spring
Give Me the Night,1981-08-13,1981,Eighties,Summer
I Can't Go for That (No Can Do),1981-06-08,1982,Eighties,Summer
Arthur's Theme (Best That You Can Do),1981-07-13,1981,Eighties,Summer
Bette Davis Eyes,1981-01-01,1981,Eighties,Winter
It's Now Or Never,1981-06-01,1981,Eighties,Summer
Any Day Now,1982-05-01,1982,Eighties,Spring
You And I,1982-10-01,1983,Eighties,Autumn
Let It Whip,1982-01-01,1982,Eighties,Winter
You Can Do Magic,1982-01-01,1982,Eighties,Winter
If I Loved You,1982-01-04,1982,Eighties,Winter
One On One,1982-10-04,1983,Eighties,Autumn
Wasted on the Way - 2005 Remaster,1982-06-21,1982,Eighties,Summer
When I'm With You,1982-01-01,1989,Eighties,Winter
Eye In The Sky,1982-05-13,1982,Eighties,Spring
All This Love,1982-04-28,1983,Eighties,Spring
Breaking Us In Two,1982-01-01,1983,Eighties,Winter
Caught Up In You,1982-01-01,1982,Eighties,Winter
I Won't Hold You Back,1982-04-08,1983,Eighties,Spring
Take It Away - Remixed 2015,1982-04-26,1982,Eighties,Spring
Making Love,1982-04-16,1982,Eighties,Spring
Do You Believe In Love,1982-01-01,1982,Eighties,Winter
Keep the Fire Burnin',1982-06-11,1982,Eighties,Summer
Don't Talk to Strangers,1982-03-23,1982,Eighties,Spring
Always On My Mind,1982-02-01,1982,Eighties,Winter
Hungry Like the Wolf - 2009 Remaster,1982-05-10,1983,Eighties,Spring
You Are,1982-03-06,1983,Eighties,Spring
Family Man,1982-10-04,1983,Eighties,Autumn
Fall in Love with Me,1982-05-18,1983,Eighties,Spring
Empty Garden (Hey Hey Johnny) - Remastered 2003,1982-01-01,1982,Eighties,Winter
Africa,1982-04-08,1983,Eighties,Spring
Blue Eyes - Remastered 2003,1982-01-01,1982,Eighties,Winter
Heat Of The Moment,1982-03-08,1982,Eighties,Spring
Stray Cat Strut,1982-01-01,1983,Eighties,Winter
(Oh) Pretty Woman - 2015 Remaster,1982-04-14,1982,Eighties,Spring
Allentown,1982-06-23,1983,Eighties,Summer
What's Forever For?,1982-06-13,1982,Eighties,Summer
If I Loved You,1982-04-23,1982,Eighties,Spring
Dirty Laundry,1982-08-13,1983,Eighties,Summer
Steppin' Out,1982-01-01,1983,Eighties,Winter
Truly,1982-05-11,1983,Eighties,Spring
Valerie,1982-08-02,1988,Eighties,Summer
You Got Lucky,1982-11-02,1983,Eighties,Autumn
Wildfire,1982-07-17,1982,Eighties,Summer
Love Will Turn You Around,1982-06-28,1982,Eighties,Summer
Come On Eileen,1982-07-22,1983,Eighties,Summer
Love Is in Control (Finger on the Trigger),1982-07-19,1982,Eighties,Summer
My Love,1982-07-13,1983,Eighties,Summer
Rosanna,1982-04-08,1982,Eighties,Spring
Jack & Diane,1982-06-04,1982,Eighties,Summer
Do You Really Want To Hurt Me,1982-09-01,1983,Eighties,Autumn
Maneater,1982-10-04,1983,Eighties,Autumn
Rock the Casbah - Remastered,1982-05-11,1983,Eighties,Spring
Abracadabra,1982-01-01,1982,Eighties,Winter
The Show Must Go On,1982-01-01,1982,Eighties,Winter
Puttin' on the Ritz,1982-01-01,1983,Eighties,Winter
I Know There's Something Going On,1982-09-06,1983,Eighties,Autumn
Goody Two Shoes,1982-04-14,1983,Eighties,Spring
Heartbreaker,1982-05-19,1983,Eighties,Spring
Hard to Say I'm Sorry - 2009 Remaster,1982-06-07,1997,Eighties,Summer
The Other Woman,1982-07-05,1982,Eighties,Summer
1999 - 2019 Remaster,1982-10-27,1983,Eighties,Autumn
Shame On The Moon,1982-12-01,1983,Eighties,Winter
Heart to Heart,1982-07-17,1983,Eighties,Summer
I Keep Forgettin' (Every Time You're Near),1982-08-03,1982,Eighties,Summer
You Should Hear How She Talks About You,1982-05-02,1982,Eighties,Spring
Hot In The City,1982-01-01,1982,Eighties,Winter
Human Nature,1982-11-30,1983,Eighties,Autumn
Hurts So Good,1982-04-08,1982,Eighties,Spring
Vacation,1982-05-21,1982,Eighties,Spring
I'll Tumble 4 Ya,1982-09-01,1983,Eighties,Autumn
Cum on Feel the Noize,1983-06-08,1984,Eighties,Summer
Adult Education,1983-07-18,1984,Eighties,Summer
I Guess That's Why They Call It The Blues,1983-05-30,1984,Eighties,Spring
China Girl - 2018 Remaster,1983-04-14,1983,Eighties,Spring
The Reflex - Single Version; 2010 Remaster,1983-11-21,1984,Eighties,Autumn
Think of Laura,1983-01-31,1984,Eighties,Winter
Jeopardy,1983-07-11,1983,Eighties,Summer
At The Hop,1983-01-01,1983,Eighties,Winter
Legs - 2008 Remaster,1983-03-23,1984,Eighties,Spring
I've Got a Rock 'n' Roll Heart,1983-02-01,1983,Eighties,Winter
Penny Lover,1983-01-01,1985,Eighties,Winter
The Longest Time,1983-08-08,1984,Eighties,Summer
Straight From The Heart,1983-01-18,1983,Eighties,Winter
Our House,1983-01-01,1983,Eighties,Winter
Eyes Without A Face,1983-11-01,1984,Eighties,Autumn
Lawyers in Love,1983-07-26,1983,Eighties,Summer
Girls Just Want to Have Fun,1983-10-14,1984,Eighties,Autumn
Break My Stride,1983-03-19,1984,Eighties,Spring
Neutron Dance,1983-04-01,1985,Eighties,Spring
Hot Girls In Love,1983-07-19,1983,Eighties,Summer
The Heart Of Rock And Roll,1983-07-12,1984,Eighties,Summer
Try Again,1983-03-14,1983,Eighties,Spring
Time After Time,1983-10-14,1984,Eighties,Autumn
Come Dancing,1983-05-24,1983,Eighties,Spring
Sweet Dreams (Are Made of This) - Remastered,1983-01-04,1983,Eighties,Winter
Take Me To Heart,1983-01-01,1983,Eighties,Winter
Mr. Roboto,1983-01-01,1983,Eighties,Winter
Faithfully,1983-02-22,1983,Eighties,Winter
Every Breath You Take,1983-06-17,1983,Eighties,Summer
Think I'm In Love,1983-06-08,1983,Eighties,Summer
New Moon on Monday - 2010 Remaster,1983-11-21,1984,Eighties,Autumn
Let's Dance - 2018 Remaster,1983-04-14,1983,Eighties,Spring
Hooked On Classics (Parts 1 & 2),1983-06-06,1983,Eighties,Summer
On The Dark Side,1983-03-31,1984,Eighties,Spring
Miss Me Blind - Remastered 2003,1983-10-01,1984,Eighties,Autumn
"Promises, Promises - US Single Version",1983-01-01,1983,Eighties,Winter
She Works Hard For The Money,1983-01-01,1983,Eighties,Winter
Time Will Reveal,1983-09-24,1984,Eighties,Autumn
Automatic,1983-04-01,1984,Eighties,Spring
If This Is It,1983-03-13,1984,Eighties,Spring
Overkill,1983-08-14,1983,Eighties,Summer
Got To Give It Up - Pt. 1,1983-08-22,1983,Eighties,Summer
Breakdance - Radio Edit,1983-11-02,1984,Eighties,Autumn
Jump (For My Love),1983-11-06,1984,Eighties,Autumn
Lucky Star,1983-07-27,1984,Eighties,Summer
All Right,1983-01-31,1983,Eighties,Winter
Yah Mo B There,1983-01-01,1984,Eighties,Winter
Owner of a Lonely Heart,1983-06-01,1984,Eighties,Summer
I Still Can't Get Over Loving You,1983-07-12,1984,Eighties,Summer
Separate Ways (Worlds Apart),1983-02-22,1983,Eighties,Winter
Always Something There to Remind Me - 2018 Remaster,1983-01-01,1983,Eighties,Winter
Hello,1983-01-01,1984,Eighties,Winter
We've Got Tonight,1983-02-11,1983,Eighties,Winter
Dead Giveaway,1983-01-01,1983,Eighties,Winter
Wrapped Around Your Finger,1983-06-17,1984,Eighties,Summer
Too Shy,1983-06-08,1983,Eighties,Summer
Undercover (Of The Night) - Remastered 2009,1983-11-07,1984,Eighties,Autumn
Holiday,1983-07-27,1984,Eighties,Summer
Say It Isn't So,1983-05-14,1984,Eighties,Spring
She Bop,1983-10-14,1984,Eighties,Autumn
An Innocent Man,1983-08-08,1984,Eighties,Summer
Sunglasses At Night,1983-02-01,1984,Eighties,Winter
Karma Chameleon - Remastered 2002,1983-10-01,1984,Eighties,Autumn
Photograph,1983-01-20,1983,Eighties,Winter
They Don't Know,1983-11-25,1984,Eighties,Autumn
It's A Mistake,1983-07-16,1983,Eighties,Summer
That's All - 2007 Remaster,1983-10-03,1984,Eighties,Autumn
Pink Houses,1983-05-13,1984,Eighties,Spring
All Through the Night,1983-10-14,1985,Eighties,Autumn
Union of the Snake - 2010 Remaster,1983-11-21,1984,Eighties,Autumn
Flashdance...What a Feeling - Radio Edit,1983-11-02,1983,Eighties,Autumn
Here Comes the Rain Again - Remastered Version,1983-11-14,1984,Eighties,Autumn
Maniac,1983-04-11,1983,Eighties,Spring
Tonight,1983-11-21,1984,Eighties,Autumn
Angel,1984-11-12,1985,Eighties,Autumn
Drive - 2017 Remaster,1984-03-11,1984,Eighties,Spring
Like a Virgin,1984-11-12,1985,Eighties,Autumn
When Doves Cry,1984-06-25,1984,Eighties,Summer
Boogie Woogie Bugle Boy,1984-01-01,1984,Eighties,Winter
We Belong,1984-05-16,1985,Eighties,Spring
The Boys Of Summer,1984-01-01,1985,Eighties,Winter
Round and Round,1984-02-14,1984,Eighties,Winter
To Each His Own,1984-05-21,1984,Eighties,Spring
Cool It Now,1984-01-01,1985,Eighties,Winter
I Feel for You,1984-06-03,1985,Eighties,Summer
Don't Let It End - Live In New Orleans/1983,1984-01-01,1984,Eighties,Winter
Wake Me Up Before You Go-Go,1984-10-23,1985,Eighties,Autumn
I Miss You,1984-01-01,1986,Eighties,Winter
Breakin'...There's No Stopping Us,1984-01-01,1984,Eighties,Winter
Hard Habit to Break - 2006 Remaster,1984-05-14,1984,Eighties,Spring
Infatuation,1984-01-08,1984,Eighties,Winter
Let's Go Crazy,1984-06-25,1984,Eighties,Summer
Cover Me,1984-06-04,1984,Eighties,Summer
Sugar Walls,1984-03-09,1985,Eighties,Spring
Freedom,1984-10-23,1985,Eighties,Autumn
The Warrior (feat. Patty Smyth),1984-08-21,1984,Eighties,Summer
All She Wants To Do Is Dance,1984-01-01,1985,Eighties,Winter
Cruel Summer,1984-01-01,1984,Eighties,Winter
Rock Me Tonite,1984-08-12,1984,Eighties,Summer
More Stars (Abba Medley) - Original Single Version,1984-04-13,1984,Eighties,Spring
Valotte,1984-01-01,1985,Eighties,Winter
Heaven,1984-11-05,1985,Eighties,Autumn
Oh Sherrie,1984-04-01,1984,Eighties,Spring
Missing You,1984-01-01,1984,Eighties,Winter
Can’t You Hear My Heartbeat,1984-04-01,1984,Eighties,Spring
No More Lonely Nights (Ballad) - Remastered 1993,1984-10-22,1985,Eighties,Autumn
Tonight She Comes - 2017 Remaster,1984-05-10,1986,Eighties,Spring
Hold Me Now,1984-01-01,1984,Eighties,Winter
Jungle Love,1984-07-03,1985,Eighties,Summer
Summer Of '69,1984-11-05,1985,Eighties,Autumn
You Might Think,1984-05-03,1984,Eighties,Spring
The Search Is Over,1984-01-01,1985,Eighties,Winter
Too Late For Goodbyes,1984-01-01,1985,Eighties,Winter
Fresh,1984-11-15,1985,Eighties,Autumn
Sea of Love - 2006 Remaster,1984-09-08,1985,Eighties,Autumn
Better Be Good to Me - 2015 Remaster,1984-05-29,1985,Eighties,Spring
Magic - 2017 Remaster,1984-05-11,1984,Eighties,Spring
Got a Hold on Me,1984-04-11,1984,Eighties,Spring
Method of Modern Love,1984-08-18,1985,Eighties,Summer
I Can't Hold Back,1984-01-01,1985,Eighties,Winter
Nobody Told Me - Remastered 2010,1984-01-27,1984,Eighties,Winter
We Don't Need Another Hero (Thunderdome),1984-05-29,1985,Eighties,Spring
I'm On Fire,1984-06-04,1984,Eighties,Summer
Everything She Wants,1984-10-23,1985,Eighties,Autumn
Private Dancer - 2015 Remaster,1984-05-29,1985,Eighties,Spring
Jump - 2015 Remaster,1984-01-04,1984,Eighties,Winter
Run To You,1984-11-05,1985,Eighties,Autumn
Strut,1984-03-10,1985,Eighties,Spring
Dancing In the Dark,1984-06-04,1984,Eighties,Summer
Self Control,1984-04-07,1984,Eighties,Spring
The Glamorous Life,1984-04-14,1984,Eighties,Spring
I Want to Know What Love Is - 1999 Remaster,1984-12-12,1985,Eighties,Winter
"Love Somebody - from ""Hard to Hold"" - Original Soundtrack",1984-04-07,1984,Eighties,Spring
Missing You,1984-09-13,1985,Eighties,Autumn
Suddenly,1984-09-12,1985,Eighties,Autumn
Mony Mony - Downtown Mix / 24-Bit Digitally Remastered 2001,1985-08-14,1987,Eighties,Summer
Money for Nothing,1985-05-13,1985,Eighties,Spring
Words Get In the Way,1985-08-13,1986,Eighties,Summer
Who's Zoomin' Who?,1985-05-09,1985,Eighties,Spring
All I Need Is a Miracle,1985-10-05,1986,Eighties,Autumn
Freeway Of Love,1985-06-11,1985,Eighties,Summer
What About Love?,1985-07-06,1985,Eighties,Summer
You Got It All,1985-01-01,1987,Eighties,Winter
Holding Back the Years - 2008 Remaster,1985-02-08,1986,Eighties,Winter
Take on Me,1985-06-01,1985,Eighties,Summer
Be Near Me,1985-10-01,1985,Eighties,Autumn
Alive And Kicking,1985-06-08,1986,Eighties,Summer
Take Me Home - 2016 Remaster,1985-01-25,1986,Eighties,Winter
Nightshift,1985-01-01,1985,Eighties,Winter
R.O.C.K. In The U.S.A. (A Salute To 60's Rock),1985-08-20,1986,Eighties,Summer
Walk of Life,1985-05-13,1986,Eighties,Spring
Lonely Ol' Night,1985-08-23,1985,Eighties,Summer
Party All the Time,1985-02-05,1986,Eighties,Winter
Life in a Northern Town,1985-05-15,1986,Eighties,Spring
Transfusion,1985-01-01,1985,Eighties,Winter
Sentimental Street,1985-01-01,1985,Eighties,Winter
Somebody's Knockin',1985-01-01,1985,Eighties,Winter
The Sweetest Taboo,1985-11-04,1986,Eighties,Autumn
Would I Lie to You? - Remastered Version,1985-04-29,1985,Eighties,Spring
Rhythm Of The Night,1985-07-08,1985,Eighties,Summer
Saving All My Love for You,1985-02-14,1985,Eighties,Winter
I Didn't Mean To Turn You On,1985-01-01,1986,Eighties,Winter
These Dreams,1985-07-06,1986,Eighties,Summer
Never,1985-07-06,1986,Eighties,Summer
Voices Carry,1985-06-01,1985,Eighties,Summer
Fortress Around Your Heart,1985-01-01,1985,Eighties,Winter
California Girls,1985-01-15,1985,Eighties,Winter
"Living in America - From ""Rocky IV"" Soundtrack",1985-04-07,1986,Eighties,Spring
You Give Good Love,1985-02-14,1985,Eighties,Winter
Silent Running,1985-10-05,1986,Eighties,Autumn
Running Up That Hill (A Deal With God),1985-09-16,2022,Eighties,Autumn
Walking On Sunshine,1985-05-13,1985,Eighties,Spring
"Head Over Heels - Dave Bascombe 7"" N.Mix",1985-02-25,1985,Eighties,Winter
Rhythm Is Gonna Get You,1985-09-07,1987,Eighties,Autumn
If You Love Somebody Set Them Free,1985-01-01,1985,Eighties,Winter
Conga!,1985-08-13,1986,Eighties,Summer
Election Day - 2010 Remaster,1985-05-11,1986,Eighties,Spring
A Love Bizarre,1985-06-14,1986,Eighties,Summer
Tender Love,1985-01-01,1986,Eighties,Winter
Broken Wings,1985-11-27,1986,Eighties,Autumn
All Cried Out (with Full Force),1985-06-01,1986,Eighties,Summer
Oh Sheila,1985-01-01,1985,Eighties,Winter
Three Times A Lady,1985-06-09,1985,Eighties,Summer
Sleeping Bag,1985-10-28,1986,Eighties,Autumn
Part-Time Lover,1985-09-13,1985,Eighties,Autumn
Small Town,1985-05-08,1986,Eighties,Spring
King for a Day,1985-09-20,1986,Eighties,Autumn
Eye of the Tiger,1985-05-13,1985,Eighties,Spring
Nikita,1985-11-07,1986,Eighties,Autumn
Raspberry Beret,1985-04-22,1985,Eighties,Spring
Still,1985-07-13,1985,Eighties,Summer
St. Elmos Fire (Man in Motion),1985-01-01,1985,Eighties,Winter
Your Love,1985-06-29,1986,Eighties,Summer
Rock Me Amadeus,1985-02-19,1986,Eighties,Winter
How Will I Know,1985-02-14,1986,Eighties,Winter
Go Home,1985-09-13,1986,Eighties,Autumn
Rock Island Line,1985-01-01,1985,Eighties,Winter
Something About You,1985-05-02,1986,Eighties,Spring
Sail On,1985-03-06,1985,Eighties,Spring
Who's Holding Donna Now?,1985-05-14,1985,Eighties,Spring
Bad Boy,1985-08-13,1986,Eighties,Summer
One More Night - 2016 Remaster,1985-01-25,1985,Eighties,Winter
Object of My Desire,1985-04-03,1986,Eighties,Spring
Jacob's Ladder,1986-01-01,1987,Eighties,Winter
"Say You, Say Me",1986-04-05,1986,Eighties,Spring
"Tonight, Tonight, Tonight - 2007 Remaster",1986-06-09,1987,Eighties,Summer
Higher Love,1986-06-30,1988,Eighties,Summer
Stuck With You,1986-01-01,1986,Eighties,Winter
True Blue,1986-06-30,1986,Eighties,Summer
True Colors,1986-10-14,1986,Eighties,Autumn
Sledgehammer - 2012 Remaster,1986-05-19,1986,Eighties,Spring
Will You Still Love Me? - Alternate,1986-09-29,1987,Eighties,Autumn
Secret Lovers,1986-05-24,1986,Eighties,Spring
Nasty,1986-02-04,1986,Eighties,Winter
(I Just) Died In Your Arms,1986-01-01,1987,Eighties,Winter
Invisible Touch - 2007 Remaster,1986-06-09,1986,Eighties,Summer
On My Own,1986-01-01,1986,Eighties,Winter
What Have You Done For Me Lately,1986-02-04,1986,Eighties,Winter
Love Touch (Theme from Legal Eagles),1986-04-07,1986,Eighties,Spring
Control,1986-02-04,1987,Eighties,Winter
Who's Johnny,1986-01-01,1986,Eighties,Winter
La Isla Bonita,1986-06-30,1987,Eighties,Summer
Land of Confusion - 2007 Remaster,1986-06-09,1987,Eighties,Summer
Livin' On A Prayer,1986-08-16,1987,Eighties,Summer
No One Is To Blame,1986-06-15,1986,Eighties,Summer
Take Me Home Tonight,1986-10-15,1986,Eighties,Autumn
Why Can't This Be Love,1986-03-24,1986,Eighties,Spring
Higher Love,1986-06-30,1986,Eighties,Summer
Baby Love,1986-10-18,1986,Eighties,Autumn
Your Wildest Dreams,1986-01-01,1986,Eighties,Winter
The Happiest Girl In The Whole U.S.A.,1986-01-01,1986,Eighties,Winter
Amanda,1986-01-01,1986,Eighties,Winter
Nothing's Gonna Change My Love For You,1986-01-01,1987,Eighties,Winter
Let's Wait Awhile,1986-02-04,1987,Eighties,Winter
Live to Tell,1986-06-30,1986,Eighties,Summer
You Give Love A Bad Name,1986-08-16,1986,Eighties,Summer
Papa Don't Preach,1986-06-30,1986,Eighties,Summer
Something So Strong,1986-01-01,1987,Eighties,Winter
Hip To Be Square,1986-01-01,1987,Eighties,Winter
"Somewhere Out There - From ""An American Tail"" Soundtrack",1986-01-01,1987,Eighties,Winter
Keep Your Hands to Yourself,1986-09-16,1987,Eighties,Autumn
Mandolin Rain,1986-06-02,1987,Eighties,Summer
In Too Deep - 2007 Remaster,1986-06-09,1987,Eighties,Summer
Love You Down - Extended Remix,1986-09-30,1987,Eighties,Autumn
Notorious - 2010 Remaster,1986-11-24,1987,Eighties,Autumn
West End Girls - 2018 Remaster,1986-03-24,1986,Eighties,Spring
Dreamtime,1986-04-23,1986,Eighties,Spring
Love Will Conquer All,1986-04-11,1986,Eighties,Spring
Sweet Freedom,1986-01-01,1986,Eighties,Winter
I'm Your Man,1986-11-25,1986,Eighties,Autumn
The Great Pretender,1986-01-01,1986,Eighties,Winter
The Lady In Red,1986-01-01,1987,Eighties,Winter
The Old Lamplighter,1986-01-04,1986,Eighties,Winter
Ballerina Girl,1986-09-15,1987,Eighties,Autumn
Manic Monday,1986-03-08,1986,Eighties,Spring
Touch Me (I Want Your Body),1986-07-07,1987,Eighties,Summer
Typical Male,1986-01-10,1986,Eighties,Winter
Shake You Down,1986-02-01,1987,Eighties,Winter
You Keep Me Hangin On,1986-05-09,1987,Eighties,Spring
Talk to Me,1986-01-07,1986,Eighties,Winter
When I Think Of You,1986-02-04,1986,Eighties,Winter
Venus,1986-01-01,1986,Eighties,Winter
Two of Hearts,1986-08-18,1986,Eighties,Summer
"I'm On Fire - Live at Giants Stadium, E. Rutherford, NJ - August 1985",1986-11-10,1986,Eighties,Autumn
Glory of Love,1986-04-16,1986,Eighties,Spring
Everybody Have Fun Tonight,1986-10-14,1987,Eighties,Autumn
Carrie,1986-05-14,1987,Eighties,Spring
Mad About You,1986-05-19,1986,Eighties,Spring
Word Up,1986-01-01,1986,Eighties,Winter
Big Time - 2012 Remaster,1986-05-19,1987,Eighties,Spring
Walk This Way (feat. Aerosmith),1986-05-15,1986,Eighties,Spring
Dancing On The Ceiling,1986-05-08,1986,Eighties,Spring
Only You (And You Alone),1986-01-01,1986,Eighties,Winter
Songbird,1986-09-01,1987,Eighties,Autumn
Is This Love,1986-01-01,1987,Eighties,Winter
Change of Heart,1986-10-14,1987,Eighties,Autumn
To Be A Lover,1986-10-20,1987,Eighties,Autumn
Kiss,1986-03-31,1986,Eighties,Spring
Victory,1986-11-03,1987,Eighties,Autumn
Throwing It All Away - 2007 Remaster,1986-06-09,1986,Eighties,Summer
Lean on Me - Remastered,1986-01-01,1987,Eighties,Winter
I'll Be Over You,1986-08-01,1986,Eighties,Summer
And I Love You So,1987-10-03,1987,Eighties,Autumn
It's a Sin - 2018 Remaster,1987-09-07,1987,Eighties,Autumn
I Still Believe,1987-01-01,1988,Eighties,Winter
Respect Yourself,1987-01-01,1987,Eighties,Winter
Oh How Happy,1987-01-01,1987,Eighties,Winter
Where Do Broken Hearts Go,1987-06-02,1988,Eighties,Summer
Here I Go Again - 2018 Remaster,1987-04-07,1987,Eighties,Spring
Point of No Return,1987-03-10,1987,Eighties,Spring
Live And Let Die - Main Title,1987-11-02,1987,Eighties,Autumn
Just To See Her,1987-01-01,1987,Eighties,Winter
Who's That Girl,1987-07-21,1987,Eighties,Summer
Cherry Bomb,1987-03-11,1988,Eighties,Spring
Sign O' The Times - 2020 Remaster,1987-03-31,1987,Eighties,Spring
When Smokey Sings,1987-10-12,1987,Eighties,Autumn
What Have I Done to Deserve This? (with Dusty Springfield) - 2018 Remaster,1987-09-07,1988,Eighties,Autumn
Let Me Be The One,1987-06-20,1987,Eighties,Summer
I Think We're Alone Now,1987-01-01,1987,Eighties,Winter
I Still Haven't Found What I'm Looking For,1987-03-03,1987,Eighties,Spring
Heat Of The Night,1987-03-30,1987,Eighties,Spring
Don't You Want Me,1987-01-01,1988,Eighties,Winter
"Heaven Is A Place On Earth - Promo 7"" Edit",1987-06-08,1988,Eighties,Summer
I Can Dream About You,1987-05-25,1987,Eighties,Spring
U Got The Look - 2020 Remaster,1987-03-31,1987,Eighties,Spring
New Sensation,1987-04-12,1988,Eighties,Spring
Welcome To The Jungle,1987-07-21,1989,Eighties,Summer
I Want Your Sex - Pts. 1 & 2 Remastered,1987-10-30,1987,Eighties,Autumn
Little Lies - 2017 Remaster,1987-04-13,1987,Eighties,Spring
You And Me Against The World,1987-01-01,1987,Eighties,Winter
Rock Steady,1987-07-13,1987,Eighties,Summer
I Wanna Dance with Somebody (Who Loves Me),1987-06-02,1987,Eighties,Summer
Midnight Blue,1987-03-03,1987,Eighties,Spring
Band On The Run,1987-11-02,1987,Eighties,Autumn
Don't Mean Nothing,1987-01-01,1987,Eighties,Winter
Sweet Child O' Mine,1987-07-21,1988,Eighties,Summer
Say You Will,1987-11-25,1988,Eighties,Autumn
Naughty Girls (Need Love Too),1987-05-18,1988,Eighties,Spring
Only in My Dreams,1987-03-06,1987,Eighties,Spring
Miami Vice Theme,1987-01-01,1987,Eighties,Winter
Never Gonna Give You Up,1987-11-12,1988,Eighties,Autumn
Together Forever,1987-11-12,1988,Eighties,Autumn
Hurt So Bad - Remastered,1987-01-01,1987,Eighties,Winter
Monkey - Remastered,1987-10-30,1988,Eighties,Autumn
Got My Mind Set On You,1987-11-02,1988,Eighties,Autumn
I Don't Want to Live Without You,1987-11-25,1988,Eighties,Autumn
1/2/2003,1987-06-02,1988,Eighties,Summer
Seasons Change,1987-04-08,1988,Eighties,Spring
Causing a Commotion,1987-07-21,1987,Eighties,Summer
Devil Inside,1987-05-05,1988,Eighties,Spring
Brilliant Disguise,1987-10-09,1987,Eighties,Autumn
Hold On To The Nights,1987-01-01,1988,Eighties,Winter
Faith - Remastered,1987-10-30,1988,Eighties,Autumn
Kissing a Fool - Remastered,1987-10-30,1988,Eighties,Autumn
So Emotional,1987-06-02,1988,Eighties,Summer
The Fool On The Hill,1987-01-01,1987,Eighties,Winter
I Want to Be Your Man - Remastered Version,1987-02-08,1988,Eighties,Winter
Need You Tonight,1987-02-10,1988,Eighties,Winter
Endless Summer Nights,1987-01-01,1988,Eighties,Winter
Heart And Soul,1987-09-14,1987,Eighties,Autumn
Make It Real,1987-01-01,1988,Eighties,Winter
Can't We Try,1987-08-11,1987,Eighties,Summer
Wait,1987-09-12,1988,Eighties,Autumn
Who Will You Run To,1987-06-06,1987,Eighties,Summer
Mercedes Boy,1987-11-16,1988,Eighties,Autumn
Leave Me Alone (Ruby Red Dress),1987-01-01,1987,Eighties,Winter
