Song,Artist(s) Genres,Genres count,Weight,total weight of genres
Pretty Wings - uncut,"{' r&b', ' neo soul', ' quiet storm', 'urban contemporary'}",4,1087,4348
Butta Love,"{' urban contemporary', ' r&b', ' boy band', 'new jack swing', ' contemporary r&b', ' minneapolis sound'}",6,1726,10356
"You, You, You","{' easy listening', 'vocal harmony group'}",2,232,464
Whatcha Say,"{' dance pop', 'pop'}",2,1142,2284
Whip Appeal,"{' urban contemporary', ' r&b', ' new jack swing', 'contemporary r&b'}",4,1636,6544
This Little Girl,"{' rhythm and blues', 'doo-wop'}",2,172,344
Feel Me Flow,"{' hip hop', ' new jersey rap', 'east coast hip hop'}",3,489,1467
Waterfalls,"{' urban contemporary', ' r&b', ' contemporary r&b', 'hip pop', ' atl hip hop', ' dance pop', ' girl group'}",7,2612,18284
Shake It Off,{'pop'},1,588,588
London Bridge,"{'dance pop', ' pop'}",2,937,1874
Heaven Must Be Missing An Angel - Pt. 1,"{' quiet storm', 'motown', ' disco'}",3,667,2001
Blue Moon - 45 Version,"{' rock-and-roll', 'doo-wop'}",2,458,916
"Tonight, Tonight, Tonight - 2007 Remaster","{' soft rock', ' rock', ' classic rock', 'art rock', ' symphonic rock', ' album rock', ' mellow gold', ' progressive rock', ' hard rock'}",9,3811,34299
Stand Up and Shout About Love,"{'p funk', ' funk'}",2,273,546
Bleeding Love,"{'talent show', ' pop', ' dance pop', ' british soul'}",4,1175,4700
The End of the World,{'nashville sound'},1,20,20
Drunk in Love (feat. Jay-Z),"{' r&b', ' rap', ' gangster rap', 'east coast hip hop', ' hip hop', ' pop rap', ' pop'}",7,2789,19523
POPSTAR (feat. Drake),"{' rap', ' canadian hip hop', ' hip hop', 'toronto rap', ' canadian pop', ' pop rap', ' miami hip hop'}",7,1760,12320
What Do You Mean?,"{' canadian pop', 'pop'}",2,751,1502
A Big Hunk O' Love,"{' rock-and-roll', 'rock-and-roll', ' rockabilly', 'rockabilly'}",4,766,3064
Rockstar,,0,0,0
Sunshine,,0,0,0
Home,"{' pop rock', ' neo mellow', 'folk-pop'}",3,184,552
Closer,"{' urban contemporary', ' r&b', 'urban contemporary', ' pop', ' dance pop', 'pop'}",6,3072,18432
R.O.C.K. In The U.S.A. (A Salute To 60's Rock),"{'heartland rock', ' rock', ' album rock', ' folk rock', ' singer-songwriter', ' hard rock', ' soft rock', ' classic rock', ' mellow gold', ' country rock'}",10,4839,48390
Mandolin Rain,"{'heartland rock', ' soft rock', ' piano rock', ' album rock', ' mellow gold', ' singer-songwriter'}",6,2835,17010
Sugartime,"{' easy listening', ' vocal harmony group', 'doo-wop'}",3,329,987
Diggin' On You,"{' urban contemporary', ' r&b', ' contemporary r&b', 'hip pop', ' atl hip hop', ' dance pop', ' girl group'}",7,2612,18284
Did You Ever Have to Make up Your Mind?,"{'beach music', 'glam metal', ' new romantic', ' classic soul', 'new wave pop', ' rock', ' quiet storm', 'hard rock', ' memphis soul', ' singer-songwriter', ' new wave pop', ' hard rock', ' instrumental funk', ' new wave', ' soft rock', 'dance pop', ' blues', ' soul', ' girl group', ' psychedelic rock', 'heartland rock', ' jangle pop', ' rock-and-roll', ' r&b', ' southern soul', ' permanent wave', ' disco', ' album rock', ' instrumental soul', ' folk', ' pop', ' synthpop', 'karaoke', ' urban contemporary', 'soul', 'folk rock', ' glam metal', ' classic rock', ' funk', ' british invasion', ' candy pop', ' mellow gold', ' country rock', 'instrumental soul', ' philly soul'}",45,12396,557820
Stuck on You,"{' rock-and-roll', 'rock-and-roll', ' rockabilly', 'rockabilly'}",4,766,3064
Get a Job,"{' rhythm and blues', 'doo-wop'}",2,172,344
Always,"{'glam metal', 'rock', ' glam metal', ' rock'}",4,1028,4112
THATS WHAT I WANT,{'lgbtq+ hip hop'},1,5,5
Ballerina Girl,{'soft rock'},1,253,253
"The Ballad of Davy Crockett (From ""Davy Crockett"")",,0,0,0
All Right,"{' mellow gold', 'soft rock', ' yacht rock'}",3,1114,3342
Tootsee Roll (Dance Version),{'miami bass'},1,43,43
The Way You Love Me,"{' country', 'country dawn', ' contemporary country', ' country road'}",4,478,1912
Little Star,{'doo-wop'},1,113,113
Good Time,"{' canadian pop', ' indietronica', ' dance pop', 'pop'}",4,1325,5300
Blue Velvet,"{' rock-and-roll', ' bubblegum pop', ' easy listening', 'doo-wop', ' adult standards', ' rockabilly'}",6,1430,8580
Chains,"{' dance pop', 'pop'}",2,1142,2284
It's Your Thing,"{' classic soul', 'quiet storm', 'soul', ' funk', ' quiet storm', ' motown', ' soul'}",7,1561,10927
Dead Giveaway,"{' urban contemporary', ' post-disco', 'soul', ' funk', ' quiet storm', ' disco', ' motown', ' new jack swing'}",8,2134,17072
Cry Baby (feat. DaBaby),"{' houston rap', ' rap', 'north carolina hip hop', ' hip hop', ' pop', ' trap queen'}",6,1731,10386
Love Me Do - Remastered 2009,"{' psychedelic rock', ' classic rock', ' british invasion', ' beatlesque', 'rock', ' merseybeat'}",6,1274,7644
Little Darlin',"{' rhythm and blues', 'rock-and-roll', ' rockabilly'}",3,377,1131
Handy Man,"{'heartland rock', ' soft rock', ' classic rock', ' mellow gold', ' folk rock', ' singer-songwriter', ' folk'}",7,3287,23009
The Mighty Quinn,"{' british invasion', 'classic rock', ' british blues', ' singer-songwriter'}",4,625,2500
Fooled Around And Fell In Love,"{' southern rock', 'country rock'}",2,107,214
Love Yourself,"{' canadian pop', 'pop'}",2,751,1502
Cheap Thrills,"{'pop', ' australian dance', ' australian pop'}",3,614,1842
Sexy And I Know It,"{' pop rap', ' dance pop', 'pop'}",3,1521,4563
Drive By,"{' neo mellow', ' pop rock', ' dance pop', 'pop'}",4,1320,5280
Monster Mash,"{' halloween', 'novelty'}",2,19,38
Bless You,{'bubblegum pop'},1,47,47
Now That We Found Love,"{' r&b', ' old school hip hop', ' east coast hip hop', 'new jack swing', ' contemporary r&b'}",5,1110,5550
Break Free,"{' complextro', 'pop dance', ' edm', ' pop', ' german techno'}",5,670,3350
Happy Together,"{' psychedelic rock', ' rock-and-roll', 'folk rock', ' classic rock', ' bubblegum pop'}",5,1594,7970
La La La,"{' uk pop', ' uk contemporary r&b', 'pop'}",3,662,1986
Without You (feat. Usher),"{' south carolina hip hop', ' r&b', ' rap', 'pop dance', ' contemporary r&b', ' atl hip hop', ' pop', ' big room', ' urban contemporary', ' edm', ' dance pop'}",11,3606,39666
Missing You,"{' soft rock', 'soul', ' quiet storm', ' disco', ' motown', ' adult standards'}",6,2267,13602
Pillow Talk,,0,0,0
Hotline Bling,"{' rap', ' canadian hip hop', ' hip hop', 'toronto rap', ' canadian pop'}",5,1326,6630
Who I Am,{'country dawn'},1,39,39
Ivory Tower,{'deep adult standards'},1,52,52
Behind Closed Doors,"{'country', ' arkansas country', ' nashville sound'}",3,73,219
Shake,"{' classic soul', 'vocal jazz', ' soul'}",3,581,1743
Do It To It,"{' urban contemporary', ' r&b', 'hip pop', ' atl hip hop', ' southern hip hop', ' girl group'}",6,2004,12024
Dior,"{'rap', ' brooklyn drill'}",2,24,48
We’re Good,"{' uk pop', ' dance pop', 'pop'}",3,1210,3630
"Be My Love (From ""The Toast of New Orleans"")","{' canzone napoletana', 'classical tenor'}",2,4,8
Don't Wanna Be a Player (In the Style of Joe) [Karaoke Version],{'karaoke'},1,177,177
Heaven,"{'glam metal', ' album rock', ' hard rock'}",3,984,2952
Tennessee Waltz,"{'adult standards', ' easy listening'}",2,312,624
Little Willy,"{' album rock', 'glam rock', ' hard rock'}",3,910,2730
"Hold Me, Thrill Me, Kiss Me",{'beach music'},1,61,61
Because Of You,{'boy band'},1,22,22
The Sweetest Thing (I've Ever Known),"{' soft rock', ' classic country pop', 'country dawn'}",3,903,2709
(Your Love Has Lifted Me) Higher And Higher,"{'soft rock', ' mellow gold', ' singer-songwriter', ' adult standards', ' native american'}",5,1816,9080
All About That Bass,"{' hip pop', 'pop'}",2,689,1378
positions,{'pop'},1,588,588
Rico Suave,,0,0,0
A Groovy Kind of Love,"{' rock drums', 'soft rock'}",2,268,536
Too Many Rivers,"{'easy listening', ' lounge', ' adult standards', ' rockabilly'}",4,768,3072
Wild Wild West (feat. Dru Hill & Kool Mo Dee) - Album Version With Intro,"{' urban contemporary', ' r&b', ' old school hip hop', ' east coast hip hop', 'new jack swing', ' hip hop', ' contemporary r&b', ' pop rap', ' harlem hip hop'}",9,2585,23265
Together Again,"{' urban contemporary', ' r&b', 'dance pop'}",3,1637,4911
Halo,"{' r&b', 'pop'}",2,1258,2516
Scars,"{' rap metal', ' rock', 'nu metal', ' rap rock', ' alternative metal'}",5,726,3630
Livin' It Up,"{' urban contemporary', ' r&b', ' queens hip hop', ' rap', 'gangster rap', ' east coast hip hop', ' hip hop', ' contemporary r&b', ' hip pop', ' pop rap', ' new jack swing', ' dance pop'}",12,4226,50712
It's A Shame,"{' classic soul', 'soul', ' funk', ' quiet storm', ' disco', ' motown', ' philly soul'}",7,1647,11529
The Happy Organ,"{' jazz organ', 'hammond organ'}",2,7,14
It Isn't Fair,{'deep adult standards'},1,52,52
"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack","{'heartland rock', ' soft rock', ' classic rock', ' album rock', ' mellow gold', ' singer-songwriter', ' country rock', ' new wave pop'}",8,3855,30840
Someone To Call My Lover,"{' urban contemporary', ' r&b', 'dance pop'}",3,1637,4911
Let It Rock,"{' trap', ' rap', ' new orleans rap', 'new orleans rap', ' hip hop', 'wrestling', ' pop rap', ' wrestling'}",8,1811,14488
Feel It Still,"{' modern alternative rock', 'indie rock', ' indietronica', ' modern rock'}",4,114,456
Love Somebody,"{'adult standards', ' vocal jazz', ' lounge', ' easy listening'}",4,489,1956
Got Me Waiting,"{' contemporary r&b', ' new jack swing', ' east coast hip hop', 'old school hip hop'}",4,576,2304
Short Dick Man - Original,,0,0,0
I Guess That's Why They Call It The Blues,"{'glam rock', ' piano rock', ' rock', ' mellow gold'}",4,1434,5736
Smooth (feat. Rob Thomas),"{' neo mellow', 'mexican classic rock', ' blues rock', ' classic rock', ' post-grunge', ' pop rock'}",6,1000,6000
Sweet Dreams - Radio Version,"{' europop', ' eurodance', 'german techno', ' diva house'}",4,100,400
Never Ending Song of Love,"{' southern rock', 'swamp rock', ' british blues', ' country rock'}",4,305,1220
Uma Thurman,"{'pop punk', ' modern rock', ' rock', ' pop', ' emo'}",5,1316,6580
Only,"{' toronto rap', ' trap', ' r&b', ' queens hip hop', ' rap', ' new orleans rap', ' canadian hip hop', ' hip hop', ' canadian pop', ' pop rap', ' pop', 'hip pop'}",12,3526,42312
Up Around The Bend,"{' classic rock', ' rock', ' southern rock', ' swamp rock', 'country rock'}",5,1396,6980
Maybe It's Because,"{' british dance band', ' deep adult standards', 'swing'}",3,79,237
Don't Be Cruel,"{' new jack swing', ' r&b', 'contemporary r&b', ' urban contemporary'}",4,1636,6544
Hollywood Nights,"{'heartland rock', ' detroit rock', ' rock', ' album rock', ' singer-songwriter', ' hard rock', ' soft rock', ' classic rock', ' mellow gold', ' country rock'}",10,4621,46210
Soul Deep,"{' psychedelic rock', ' classic garage rock', ' folk rock', 'rock-and-roll', ' bubblegum pop', ' merseybeat'}",6,878,5268
Love Is the Answer,"{' mellow gold', 'soft rock'}",2,958,1916
Union of the Snake - 2010 Remaster,"{' new romantic', 'new wave pop', ' rock', ' album rock', 'new wave', ' new wave pop', ' synthpop', ' new wave', ' soft rock', ' dance rock', ' classic rock'}",11,3828,42108
Together Forever,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' sophisti-pop'}",5,1567,7835
Walk Away,"{'pop', 'talent show', ' pop', ' dance pop', ' talent show'}",5,1772,8860
In The Dark,,0,0,0
Get Up and Boogie - That's Right,{'disco'},1,50,50
You Got It (The Right Stuff),{'boy band'},1,22,22
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,"{' urban contemporary', ' r&b', ' dancehall', ' pop rap', 'hip pop', ' pop', ' dance pop'}",7,2983,20881
Sunshine (Go Away Today),{'country rock'},1,64,64
Give It To Me,"{' canadian latin', 'dance pop', ' canadian pop', ' pop rap', ' pop'}",5,1484,7420
Run Away,"{' eurodance', 'german techno', ' diva house', ' hip house'}",4,85,340
"Bailamos - From ""Wild Wild West""","{' mexican pop', ' latin pop', 'dance pop'}",3,391,1173
The Yellow Rose of Texas - Single Version,{'easy listening'},1,88,88
"Would I Love You, Love You, Love You","{'adult standards', ' easy listening'}",2,312,624
I Still Haven't Found What I'm Looking For,"{'irish rock', ' rock', ' permanent wave', 'rock', ' irish rock'}",5,988,4940
Better,"{' pop r&b', 'pop'}",2,601,1202
Sign Your Name (Karaoke in the style of Terence Trent d'Arby),"{'beach music', 'glam metal', ' new romantic', ' classic soul', 'new wave pop', ' rock', ' quiet storm', 'hard rock', ' memphis soul', ' singer-songwriter', ' new wave pop', ' hard rock', ' instrumental funk', ' new wave', ' soft rock', 'dance pop', ' blues', ' soul', ' girl group', ' psychedelic rock', 'heartland rock', ' jangle pop', ' rock-and-roll', ' r&b', ' country rock', ' southern soul', ' permanent wave', ' disco', ' album rock', ' instrumental soul', ' folk', ' pop', ' synthpop', 'karaoke', ' urban contemporary', 'soul', 'folk rock', ' glam metal', ' classic rock', ' funk', ' british invasion', ' mellow gold', ' candy pop', 'instrumental soul', ' philly soul'}",45,12396,557820
Kansas City,{'rhythm and blues'},1,11,11
The World Is Waiting For The Sunrise,{'space age pop'},1,12,12
Reach Out Of The Darkness,,0,0,0
Go Now,"{'heartland rock', ' art rock', ' rock', ' flute rock', ' album rock', ' folk rock', ' singer-songwriter', ' heartland rock', ' hard rock', ' soft rock', 'folk rock', ' classic rock', ' british invasion', ' symphonic rock', ' mellow gold', ' country rock', ' progressive rock'}",17,5517,93789
Strange Way,"{' southern rock', 'country rock', ' mellow gold', ' soft rock'}",4,1603,6412
A Swingin' Safari,"{'space age pop', ' space age pop', 'easy listening', ' easy listening'}",4,311,1244
Bump n' Grind,,0,0,0
Stranger in Paradise,"{' rock-and-roll', ' easy listening', 'vocal harmony group', ' doo-wop', ' adult standards'}",5,1080,5400
Sylvia's Mother,"{'country rock', ' mellow gold', ' soft rock'}",3,1560,4680
Owner of a Lonely Heart,"{' soft rock', ' rock', ' classic rock', 'art rock', ' symphonic rock', ' album rock', ' progressive rock', ' hard rock'}",8,3106,24848
Love's Theme,"{' classic soul', 'post-disco', ' disco'}",3,568,1704
One More Night,{'pop'},1,588,588
Touch Me,"{' psychedelic rock', ' classic rock', ' rock', ' album rock', 'acid rock', ' hard rock'}",6,2336,14016
"Shout, Pt. 1",{'doo-wop'},1,113,113
Seasons in the Sun,{'classic uk pop'},1,7,7
No Diggity,"{' urban contemporary', ' r&b', ' boy band', ' rap', 'gangster rap', ' hip hop', ' g funk', ' contemporary r&b', ' hip pop', ' west coast rap', ' lgbtq+ hip hop', ' new jack swing'}",12,3308,39696
Show Me the Meaning of Being Lonely,"{' boy band', ' pop', 'dance pop'}",3,1035,3105
"Get Outta My Dreams, Get Into My Car","{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' disco', ' mellow gold', ' yacht rock'}",7,2712,18984
Transfusion,{'song poem'},1,1,1
Atlantis,"{' psychedelic rock', 'glam rock', ' classic rock', ' british invasion', ' folk rock', ' scottish singer-songwriter', ' british folk', ' singer-songwriter', ' psychedelic folk', ' folk'}",10,1846,18460
I Apologize,"{' vocal jazz', 'swing'}",2,126,252
Clair,"{'beach music', 'glam metal', ' new romantic', ' classic soul', 'new wave pop', ' rock', ' quiet storm', ' philly soul', 'hard rock', ' memphis soul', ' singer-songwriter', ' new wave pop', ' hard rock', ' instrumental funk', 'soft rock', ' new wave', ' soft rock', 'dance pop', ' blues', ' soul', ' girl group', ' psychedelic rock', 'heartland rock', ' jangle pop', ' rock-and-roll', ' r&b', ' southern soul', ' permanent wave', ' disco', ' album rock', ' instrumental soul', ' folk', ' pop', ' synthpop', 'karaoke', ' urban contemporary', 'soul', 'folk rock', ' glam metal', ' classic rock', ' funk', ' british invasion', ' candy pop', ' mellow gold', ' country rock', 'instrumental soul', ' adult standards'}",47,13075,614525
Mo Bamba,"{' trap', ' rap', 'pop rap'}",3,941,2823
Disco Inferno,"{' disco', 'philly soul'}",2,326,652
You Make My Dreams (Come True),"{'heartland rock', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' singer-songwriter', ' yacht rock'}",8,4208,33664
The Other Side,"{' dance pop', 'pop'}",2,1142,2284
Mesmerize,"{' urban contemporary', ' r&b', ' queens hip hop', ' rap', 'gangster rap', ' east coast hip hop', ' hip hop', ' hip pop', ' pop rap', ' dance pop'}",10,3782,37820
Carrie-Anne,"{' soft rock', 'folk rock', ' classic rock', ' british invasion', ' album rock', ' mellow gold', ' merseybeat'}",7,3179,22253
Centuries,"{'pop punk', ' modern rock', ' rock', ' pop', ' emo'}",5,1316,6580
Empty Garden (Hey Hey Johnny) - Remastered 2003,"{'glam rock', ' piano rock', ' rock', ' mellow gold'}",4,1434,5736
"Jesus, Take the Wheel","{' dance pop', ' classic oklahoma country', 'dance pop', ' country dawn', ' country', 'country dawn', ' contemporary country'}",7,1348,9436
Doggin' Around,"{' rock-and-roll', 'classic soul', ' chicago soul', ' soul'}",4,764,3056
Bewitched,,0,0,0
I Like It,"{' rap', 'reggaeton colombiano', ' urbano latino', ' trap latino', ' reggaeton', ' pop'}",6,1259,7554
Barely Breathing,{'pop rock'},1,41,41
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","{' trap', ' r&b', ' rap', ' progressive house', ' hip hop', ' southern hip hop', ' edm', 'electro house', ' uk dance', ' detroit hip hop', ' pop rap', ' house', ' pop', ' dance pop'}",14,3908,54712
Wanted (with Henri René & His Orchestra and Chorus),"{'adult standards', ' easy listening'}",2,312,624
Blue Eyes - Remastered 2003,"{'glam rock', ' piano rock', ' rock', ' mellow gold'}",4,1434,5736
Breakdance - Radio Edit,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' disco'}",5,1851,9255
Ebony Eyes,"{'soft rock', ' yacht rock'}",2,409,818
I Need You Now - 2001 Remastered,"{'adult standards', ' easy listening'}",2,312,624
You Remind Me of Something,,0,0,0
U Don't Know Me,"{'dirty south rap', ' trap', ' dirty south rap', ' rap', 'gangster rap', ' gangster rap', ' hip hop', ' pop rap', ' atl hip hop', ' southern hip hop'}",10,2645,26450
We'll Sing in the Sunshine (Originally Performed by Gale Garnett) [Karaoke Version],{'karaoke'},1,177,177
I Love Music,"{'beach music', 'glam metal', ' classic soul', ' new romantic', 'new wave pop', ' rock', ' quiet storm', 'hard rock', ' memphis soul', ' singer-songwriter', ' new wave pop', ' hard rock', ' instrumental funk', 'soft rock', ' new wave', ' soft rock', 'dance pop', ' blues', ' soul', ' girl group', ' psychedelic rock', 'heartland rock', ' jangle pop', ' rock-and-roll', ' r&b', ' country rock', ' southern soul', ' permanent wave', ' disco', ' album rock', ' instrumental soul', ' folk', ' pop', ' synthpop', 'karaoke', ' urban contemporary', 'soul', 'folk rock', ' adult standards', ' funk', ' glam metal', ' classic rock', ' british invasion', ' mellow gold', ' candy pop', 'instrumental soul', ' philly soul'}",47,13075,614525
Don't Shed a Tear (In the Style of Paul Carrack) [Karaoke Version],{'karaoke'},1,177,177
Sioux City Sue - 1946 Single Version / With 1954 Spoken Introduction,"{'adult standards', ' rhythm and blues', ' lounge', ' easy listening'}",4,447,1788
Butterflies,"{' r&b', 'soul'}",2,955,1910
Hello Again,"{'heartland rock', ' soft rock', 'folk rock', ' mellow gold', ' folk rock', ' singer-songwriter', ' yacht rock', ' brill building pop', ' heartland rock', ' adult standards'}",10,3471,34710
Closer,"{' indie poptimism', ' tropical house', ' etherpop', 'electropop', ' pop'}",5,618,3090
Allentown,"{'heartland rock', 'soft rock', ' soft rock', ' rock', ' piano rock', ' classic rock', ' album rock', ' mellow gold', ' singer-songwriter', ' heartland rock'}",10,4489,44890
Crying In The Chapel,{'deep adult standards'},1,52,52
What's Forever For?,"{' cowboy western', ' outlaw country', 'new mexico music', ' classic country pop'}",4,101,404
Blown Away,"{' dance pop', ' classic oklahoma country', 'dance pop', ' country dawn', ' country', 'country dawn', ' contemporary country'}",7,1348,9436
Panini,{'lgbtq+ hip hop'},1,5,5
No Lie,"{' toronto rap', ' trap', 'southern hip hop', ' rap', ' canadian hip hop', ' hip hop', ' canadian pop', ' pop rap', ' atl hip hop'}",9,2305,20745
Too Fat To Fly,"{'outlaw country', ' chattanooga indie'}",2,5,10
Sunshine Of Your Love,"{' psychedelic rock', 'folk rock', ' rock', ' classic rock', ' blues rock', ' british blues', ' album rock', ' singer-songwriter', ' supergroup', ' hard rock'}",10,3117,31170
Little Jeannie,"{'glam rock', ' piano rock', ' rock', ' mellow gold'}",4,1434,5736
You Belong To Me,{'torch song'},1,14,14
Every Little Thing I Do,"{' new jack swing', 'contemporary r&b', ' boy band', ' r&b'}",4,1126,4504
Dirty Laundry,"{'heartland rock', ' album rock', ' singer-songwriter', ' heartland rock', 'soft rock', ' soft rock', ' classic rock', ' mellow gold', ' yacht rock'}",9,3957,35613
Na Na,"{' dance pop', ' urban contemporary', ' trap', ' r&b', 'southern hip hop', 'dance pop', ' southern hip hop'}",7,2784,19488
The Whiffenpoof Song,"{' easy listening', 'vocal harmony group', ' light music', ' lounge', ' adult standards'}",5,735,3675
"Twist, Twist Senora","{' rhythm and blues', 'doo-wop'}",2,172,344
Small Town Boy,"{' country', ' contemporary country', ' modern country rock', 'country road'}",4,498,1992
I'll Be Missing You (feat. 112),"{' urban contemporary', ' r&b', ' boy band', ' rap', ' east coast hip hop', ' hip hop', ' contemporary r&b', ' pop rap', 'hip pop', ' atl hip hop', ' dance pop'}",11,4169,45859
Love Letters In The Sand - Single Version,"{' rock-and-roll', ' easy listening', 'rockabilly', 'rock-and-roll', ' adult standards', ' rockabilly'}",6,1393,8358
Play It Again,"{' country', 'country road', ' contemporary country'}",3,451,1353
Since I Don't Have You (Alternative Take),{'doo-wop'},1,113,113
Papa Don't Preach,"{'dance pop', ' pop', ' dance pop', 'pop'}",4,2079,8316
Walk This Way,"{' classic rock', ' rock', ' album rock', 'rock', 'classic rock', ' hard rock'}",6,2338,14028
My Last,"{' trap', ' r&b', ' rap', 'southern hip hop', ' hip hop', ' pop rap', ' detroit hip hop'}",7,2554,17878
Rock And Roll Music - Remastered 2012,"{' psychedelic rock', ' rock', ' folk rock', 'baroque pop', ' baroque pop', 'folk rock', ' sunshine pop', ' classic rock', ' mellow gold'}",9,2725,24525
changes,"{' emo rap', 'miami hip hop', ' miami hip hop', 'emo rap'}",4,75,300
From a Distance,"{'new wave pop', ' soft rock', ' adult standards'}",3,1519,4557
Count on Me,"{' soft rock', ' rock', ' classic rock', 'hard rock', ' album rock', ' mellow gold', ' folk rock', ' singer-songwriter'}",8,4055,32440
Da Doo Ron Ron,{'bubblegum pop'},1,47,47
Don't Wanna Go Home (Originally Performed By Jason Derulo),{'karaoke'},1,177,177
Lady,"{'glam metal', 'soft rock', ' soft rock', ' glam metal', ' rock', ' classic rock', ' album rock', ' mellow gold', ' progressive rock', ' hard rock'}",10,4227,42270
Mysterious Ways,"{'irish rock', ' rock', ' permanent wave', 'rock', ' irish rock'}",5,988,4940
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","{' dutch house', ' queens hip hop', ' rap', 'pop dance', ' progressive electro house', ' hip pop', ' edm', ' pop', ' electro house', ' dance pop', ' big room'}",11,2011,22121
I Love The Way You Love,{'motown'},1,89,89
Travelin' Man - Remastered,"{' rock-and-roll', 'rock-and-roll', 'doo-wop', ' doo-wop', ' adult standards', ' rockabilly'}",6,1279,7674
1-800-273-8255,"{' conscious hip hop', ' rap', ' pop r&b', ' dmv rap', ' hip hop', ' canadian pop', ' pop rap', ' canadian contemporary r&b', 'pop'}",9,2290,20610
C’est la vie,,0,0,0
Demons,"{' modern rock', ' rock', 'pop'}",3,1295,3885
On the Way Down,"{'idol', ' neo mellow'}",2,65,130
Incomplete,"{' urban contemporary', ' dirty south rap', ' r&b', ' contemporary r&b', 'hip pop'}",5,1907,9535
Fire,,0,0,0
When a Man Loves a Woman,"{' southern soul', ' rock-and-roll', ' soul', 'classic soul'}",4,902,3608
Yummy,"{' canadian pop', 'pop'}",2,751,1502
Natural High - Single Version,"{'p funk', ' classic soul', ' post-disco', ' southern soul', ' funk', ' quiet storm', ' disco', ' motown', ' soul'}",9,1813,16317
Smells Like Teen Spirit,"{' permanent wave', ' grunge', 'rock'}",3,357,1071
P.I.M.P.,"{' queens hip hop', ' rap', 'gangster rap', ' east coast hip hop', ' hip hop', ' pop rap'}",6,1849,11094
Sincerely,"{' vocal harmony group', 'doo-wop', ' easy listening'}",3,329,987
Girls Night Out (with Doechii),"{' urban contemporary', ' r&b', 'new jack swing', ' contemporary r&b', ' alternative r&b'}",5,1592,7960
(Theme From) Valley of the Dolls,"{' soft rock', ' quiet storm', ' vocal jazz', ' brill building pop', 'disco', ' adult standards', ' soul'}",7,2015,14105
Sowing The Seeds Of Love,"{' synthpop', ' new romantic', ' rock', ' permanent wave', 'new wave', ' sophisti-pop', ' new wave pop'}",7,1552,10864
Blueberry Faygo,"{'melodic rap', ' rap conscient', ' vapor trap'}",3,54,162
Do You Want Me,"{' queens hip hop', ' old school hip hop', ' hip hop', ' golden age hip hop', 'hip pop', ' girl group'}",6,872,5232
Turn My Swag On,"{' trap', ' rap', ' chicago bop', 'dance pop', ' pop rap', ' atl hip hop', ' southern hip hop'}",7,2072,14504
Last Friday Night (T.G.I.F.),{'pop'},1,588,588
Stop! In The Name Of Love,"{' classic girl group', 'disco', ' motown', ' soul'}",4,587,2348
Breakaway,"{'talent show', ' talent show', ' pop', ' dance pop', 'pop'}",5,1772,8860
Gangsta's Paradise,"{'gangster rap', ' hip hop', ' g funk', ' west coast rap'}",4,763,3052
Circles Around This Town,"{'classic texas country', ' contemporary country'}",2,157,314
Who Will Save Your Soul,"{'alaska indie', ' lilith', ' permanent wave', ' pop rock', ' ectofolk', ' singer-songwriter'}",6,837,5022
Lonely Weekends - Remastered 2022,"{'country', 'nashville sound', ' country', ' arkansas country', ' nashville sound'}",5,292,1460
Sorry 2004,"{' gospel r&b', ' r&b', 'contemporary r&b'}",3,844,2532
Hold On Tight,"{' soft rock', ' glam rock', ' rock', ' classic rock', 'art rock', ' symphonic rock', ' album rock', ' mellow gold', ' beatlesque'}",9,3523,31707
Our House,"{' ska revival', ' britpop', 'new wave', ' ska'}",4,61,244
Apologize,"{'piano rock', ' piano rock', ' pop', 'pop'}",4,1238,4952
Baby Hold On (2022 Remaster),"{'glam metal', ' soft rock', ' classic rock', ' southern rock', ' album rock', ' mellow gold', ' country rock', ' hard rock'}",8,3412,27296
Legs - 2008 Remaster,"{' rock', ' classic rock', ' album rock', 'blues rock', ' hard rock'}",5,2161,10805
A Blossom Fell,"{'lounge', ' swing', ' vocal jazz', 'adult standards', ' lounge', ' adult standards', ' soul'}",7,1088,7616
Cats In The Cradle,"{' glam metal', 'funk rock', ' hard rock', ' funk metal'}",4,512,2048
Locked out of Heaven,"{' dance pop', 'pop'}",2,1142,2284
Misty - 1975 #3Country; #14Pop Billboard chart hit,"{' classic country pop', 'novelty'}",2,91,182
I Don't Want to Live Without You,"{'heartland rock', ' soft rock', ' glam metal', ' rock', ' classic rock', ' album rock', ' mellow gold', ' hard rock'}",8,4090,32720
Shoop,"{' queens hip hop', ' old school hip hop', ' hip hop', ' golden age hip hop', 'hip pop', ' girl group'}",6,872,5232
22 (Taylor's Version),{'pop'},1,588,588
You Give Good Love,{'dance pop'},1,359,359
I Love Rock 'N Roll,"{'glam punk', ' rock'}",2,627,1254
